ESTADOS,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPA,se,AB_P,FC_P,então,OPR,fimse,fim,EOF,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
0,S2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,ACC,,,,,,,,,,,,,,,,
2,,S4,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
3,,,,,S11,,,,,S9,S10,,,,,S13,,,,,,S15,,,,,,,,5,6,,7,,,8,12,,
4,,,S49,,,,S56,S57,S58,,,,,,,,,,,,,,,,,47,48,,51,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,R2,,,,,,,,,,,,,,,,
6,,,,,S11,,,,,S9,S10,,,,,S13,,,,,,S15,,,,,,,,14,6,,7,,,8,12,,
7,,,,,S11,,,,,S9,S10,,,,,S13,,,,,,S15,,,,,,,,16,6,,7,,,8,12,,
8,,,,,S11,,,,,S9,S10,,,,,S13,,,,,,S15,,,,,,,,17,6,,7,,,8,12,,
9,,,,,S18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,S23,,,,,,,S21,S22,,,,,,,,,,,,,,,,,,,20,,,,,,,
11,,,,,,,,,,,,,,S25,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,S11,,,,,S9,S10,,,,,S13,,,,,,,,,,,,,,,32,,33,,,34,12,,
13,,,,,,,,,,,,,,,,,S60,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,R12,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,R32,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,R24,,,,,,,,,,,,,,,,
18,,,,S19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,R13,,,,,R13,R13,,,,,R13,,,,,R13,R13,,,,,,,,,,,,,,,,,
20,,,,S24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,R17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,R14,,,,,R14,R14,,,,,R14,,,,,R14,R14,,,,,,,,,,,,,,,,,
25,,,,,S39,,,,,,,,S40,,,,,,,,,,,,,,,,,,,,,26,28,,,,
26,,,,S27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,R19,,,,,R19,R19,,,,,R19,,,,,R19,R19,,,,,,,,,,,,,,,,,
28,,,,R21,,,,,,,,,,,S29,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,S39,,,,,,,,S40,,,,,,,,,,,,,,,,,,,,,,30,,,,
30,,,,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,R25,,,,,R25,R25,,,,,R25,,,,,R25,R25,,,,,,,,,,,,,,,,,
32,,,,,S11,,,,,S9,S10,,,,,S13,,,,,S35,,,,,,,,,,32,,33,,,34,12,,36
33,,,,,S11,,,,,S9,S10,,,,,S13,,,,,S35,,,,,,,,,,32,,33,,,34,12,,37
34,,,,,S11,,,,,S9,S10,,,,,S13,,,,,S35,,,,,,,,,,32,,33,,,34,12,,38
35,,,,,R31,,,,,R31,R31,,,,,R31,,,,,R31,R31,,,,,,,,,,,,,,,,,
36,,,,,R28,,,,,R28,R28,,,,,R28,,,,,R28,R28,,,,,,,,,,,,,,,,,
37,,,,,R29,,,,,R29,R29,,,,,R29,,,,,R29,R29,,,,,,,,,,,,,,,,,
38,,,,,R30,,,,,R30,R30,,,,,R30,,,,,R30,R30,,,,,,,,,,,,,,,,,
39,,,,R22,,,,,,,,,,,R22,,,R22,,R22,,,,,,,,,,,,,,,,,,,
40,,,,R23,,,,,,,,,,,R23,,,R23,,R23,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,S43,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,S45,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,S44,,,,,,,,,,,,,,,,,,,,
44,,,,,R26,,,,,R26,R26,,,,,R26,,,,,R26,,,,,,,,,,,,,,,,,,
45,,,,,S39,,,,,,,,S40,,,,,,,,,,,,,,,,,,,,,,46,,,,
46,,,,,,,,,,,,,,,,,,R27,,,,,,,,,,,,,,,,,,,,,
47,,,,,R3,,,,,R3,R3,,,,,R3,,,,,,R3,,,,,,,,,,,,,,,,,
48,,,S49,,,,S56,S57,S58,,,,,,,,,,,,,,,,,59,48,,51,,,,,,,,,,
49,,,,S50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,R5,,,,,R5,R5,,,,,R5,,,,,,R5,,,,,,,,,,,,,,,,,
51,,,,,S53,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,
52,,,R6,,,,R6,R6,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,R8,,S54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,S53,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,
55,,,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,R4,,,,,R4,R4,,,,,R4,,,,,,R4,,,,,,,,,,,,,,,,,
60,,,,,S39,,,,,,,,S40,,,,,,,,,,,,,,,,,,,,,,42,,,41,
61,,,,S52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
